Place Of Service,Service Type,Product,Group Size,In Network,Is Covered,Date of Service From,Date of Service To,Covered in Full,Copay,Coinsurance
Outpatient,wigs,PROD622,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,wigs,PROD622,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,wigs,PROD622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Office,wigs,PROD622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Outpatient,wigs,PROD622,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,wigs,PROD622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Office,artificialInsemination,PROD622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Outpatient,artificialInsemination,PROD622,L,N,Y,1/1/2016,12/31/2023,N,N,N
Inpatient,artificialInsemination,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,artificialInsemination,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,artificialInsemination,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,artificialInsemination,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,brapostmastectomy,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,brapostmastectomy,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,brapostmastectomy,PROD622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Office,brapostmastectomy,PROD622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Outpatient,brapostmastectomy,PROD622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Inpatient,brapostmastectomy,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,catScans,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,catScans,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,catScans,PROD622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Outpatient,catScans,PROD622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,catScans,PROD622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,catScans,PROD622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,dentalPreventive,PROD622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,dentalPreventive,PROD622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,dentalPreventive,PROD622,,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,dentalPreventive,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,dentalPreventive,PROD622,,Y,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,dentalPreventive,PROD622,,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,impactedTeethRemoval,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,impactedTeethRemoval,PROD622,,N,,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,impactedTeethRemoval,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,impactedTeethRemoval,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,impactedTeethRemoval,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,impactedTeethRemoval,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,invitro,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,invitro,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,invitro,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Office,invitro,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,invitro,PROD622,,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,invitro,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,medicalSupplies,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,medicalSupplies,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,medicalSupplies,PROD622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Office,medicalSupplies,PROD622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Outpatient,medicalSupplies,PROD622,,Y,Y,1/1/2016,12/31/2023,N,dmeCoinsurance,N
Inpatient,medicalSupplies,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Office,organDonation,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,organDonation,PROD622,,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,organDonation,PROD622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Outpatient,organDonation,PROD622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,organDonation,PROD622,,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,organDonation,PROD622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,dentalAccidental,PROD622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,dentalAccidental,PROD622,,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,dentalAccidental,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,dentalAccidental,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,dentalAccidental,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,dentalAccidental,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,acupuncture,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,acupuncture,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,acupuncture,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,acupuncture,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,acupuncture,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,acupuncture,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,adultImmunizations,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,adultImmunizations,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,adultImmunizations,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,adultImmunizations,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Office,adultImmunizations,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Inpatient,adultImmunizations,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,adultPhysicalRoutine,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,adultPhysicalRoutine,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,adultPhysicalRoutine,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,adultPhysicalRoutine,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Office,adultPhysicalRoutine,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpCopay,N
Inpatient,adultPhysicalRoutine,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,allergyInjection,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,allergyInjection,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,allergyInjection,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,allergyInjection,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,allergyInjection,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,allergyInjection,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,allergyTesting,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,allergyTesting,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,allergyTesting,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,allergyTesting,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,allergyTesting,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Inpatient,allergyTesting,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,ambulance,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,ambulance,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,ambulance,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,ambulance,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,ambulance,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,ambulance,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,ambulatorySurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,ambulatorySurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,ambulatorySurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,ambulatorySurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,ambulatorySurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,ambulatorySurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,anesthesia,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,anesthesia,PROD823,L,N,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,anesthesia,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,anesthesia,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,anesthesia,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,anesthesia,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,anticoagulantTherapy,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,anticoagulantTherapy,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,anticoagulantTherapy,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,anticoagulantTherapy,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,anticoagulantTherapy,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,anticoagulantTherapy,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,autismEvaluation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,autismEvaluation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,autismEvaluation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,autismEvaluation,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Outpatient,autismEvaluation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,autismEvaluation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,autologousBlood,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,autologousBlood,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,autologousBlood,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,autologousBlood,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Office,autologousBlood,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Inpatient,autologousBlood,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,biofeedback,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,biofeedback,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,biofeedback,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,N,N
Office,biofeedback,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Outpatient,biofeedback,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,biofeedback,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,boneDensityTest,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,boneDensityTest,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,boneDensityTest,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,boneDensityTest,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,boneDensityTest,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,boneDensityTest,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,cardiacRehabilitation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,cardiacRehabilitation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,cardiacRehabilitation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,cardiacRehabilitation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,cardiacRehabilitation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,cardiacRehabilitation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,castingAndStrapping,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,castingAndStrapping,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,castingAndStrapping,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,castingAndStrapping,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Outpatient,castingAndStrapping,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,castingAndStrapping,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,cerumenWaxRemoval,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,cerumenWaxRemoval,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,cerumenWaxRemoval,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,cerumenWaxRemoval,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Outpatient,cerumenWaxRemoval,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,cerumenWaxRemoval,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,chemotherapy,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,chemotherapy,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,chemotherapy,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,chemotherapy,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,chemotherapy,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,chemotherapy,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,childbirthClasses,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,childbirthClasses,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,childbirthClasses,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,childbirthClasses,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,childbirthClasses,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Inpatient,childbirthClasses,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,childImmunizations,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,childImmunizations,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,childImmunizations,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,childImmunizations,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,childImmunizations,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,childImmunizations,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,chiropracticServices,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,chiropracticServices,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,chiropracticServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,chiropracticServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Office,chiropracticServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Inpatient,chiropracticServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,chlamydiaScreening,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,chlamydiaScreening,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,chlamydiaScreening,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,chlamydiaScreening,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,chlamydiaScreening,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,chlamydiaScreening,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,christianScienceServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,christianScienceServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,christianScienceServices,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,christianScienceServices,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,christianScienceServices,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,christianScienceServices,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,clinicalTrials,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,clinicalTrials,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,clinicalTrials,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,clinicalTrials,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Outpatient,clinicalTrials,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,clinicalTrials,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,clinicServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,clinicServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,clinicServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,clinicServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Outpatient,clinicServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,specialistCopay,N
Inpatient,clinicServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,coeBariatricSurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,coeBariatricSurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,coeBariatricSurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,coeBariatricSurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,coeBariatricSurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,coeBariatricSurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,coeOrganTransplant,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Ineligible POS
Outpatient,coeOrganTransplant,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Ineligible POS
Inpatient,coeOrganTransplant,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,coeOrganTransplant,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,coeOrganTransplant,PROD823,L,Y,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,coeOrganTransplant,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,essentalDentalServices,PROD823,L,N,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Outpatient,essentalDentalServices,PROD823,L,N,Y,1/1/2016,12/31/2023,Ineligible POS,Ineligible POS,Ineligible POS
Inpatient,essentalDentalServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,essentalDentalServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,essentalDentalServices,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,essentalDentalServices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,consciousSedation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,consciousSedation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,consciousSedation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,consciousSedation,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Outpatient,consciousSedation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,consciousSedation,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,consultations,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,consultations,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,consultations,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,consultations,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Outpatient,consultations,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Inpatient,consultations,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,contraceptiveDevices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,contraceptiveDevices,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,contraceptiveDevices,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,contraceptiveDevices,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,contraceptiveDevices,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,contraceptiveDevices,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,contrastAgents,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,contrastAgents,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,contrastAgents,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,contrastAgents,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,contrastAgents,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,contrastAgents,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,cultredSubstituteSurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,cultredSubstituteSurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,cultredSubstituteSurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,cultredSubstituteSurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,pcpAndSpec,N
Outpatient,cultredSubstituteSurgery,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,cultredSubstituteSurgery,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,diabeticDme,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,diabeticDme,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,diabeticDme,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,diabeticDme,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,diabeticDme,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,diabeticDme,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,diabeticDrugs,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,diabeticDrugs,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,diabeticDrugs,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Outpatient,diabeticDrugs,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Office,diabeticDrugs,PROD823,L,Y,N,1/1/2016,12/31/2023,N,N,N
Inpatient,diabeticDrugs,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,diabeticEducation,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,diabeticEducation,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,diabeticEducation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,diabeticEducation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,diabeticEducation,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,diabeticEducation,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Outpatient,diabeticEyeExam,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Office,diabeticEyeExam,PROD823,L,N,N,1/1/2016,12/31/2023,N,N,N
Inpatient,diabeticEyeExam,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,diabeticEyeExam,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,diabeticEyeExam,PROD823,L,Y,Y,1/1/2016,12/31/2023,N,specialistCopay,N
Inpatient,diabeticEyeExam,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,diabeticFootCare,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,diabeticFootCare,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,diabeticFootCare,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,diabeticFootCare,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,diabeticFootCare,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,diabeticFootCare,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,diabeticShoes,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,diabeticShoes,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,diabeticShoes,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Outpatient,diabeticShoes,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,diabeticShoes,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Inpatient,diabeticShoes,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Outpatient,diabeticSupplies,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Office,diabeticSupplies,PROD823,L,N,Y,1/1/2016,12/31/2023,N,N,Y
Inpatient,diabeticSupplies,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
Office,diabeticSupplies,PROD823,L,Y,Y,1/1/2016,12/31/2023,Y,N,N
